Filename,esp_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0150059,4.12040,3.63629e-3,162.595,25.00,19.2429,1.45629e-4,0.0272040,20.0214,1.13342,162.595,0.848563,0.0716948
0.0155698,4.51607,3.47421e-3,164.889,24.99,19.9914,1.39114e-4,0.0282622,20.0284,0.980218,164.889,0.880452,0.0785795
0.0166705,4.94984,3.34217e-3,167.182,25.00,19.5208,1.33805e-4,0.0275969,20.0246,0.796739,167.182,0.942693,0.0861270
0.0172674,5.41096,3.20697e-3,169.411,25.00,19.1602,1.28374e-4,0.0270870,20.0099,0.654412,169.411,0.976451,0.0941504
0.0183688,5.93024,3.07750e-3,171.704,24.99,20.4959,1.23175e-4,0.0289754,20.0124,0.582804,171.704,1.03873,0.103186
0.0191672,6.49981,2.93850e-3,173.998,25.00,20.1944,1.17597e-4,0.0285492,20.0301,0.478002,173.998,1.08388,0.113097
0.0199777,7.10468,2.82642e-3,176.226,25.00,20.0852,1.13098e-4,0.0283948,20.0388,0.397912,176.226,1.12971,0.123621
0.0208714,7.78796,2.71508e-3,178.520,24.99,19.2986,1.08633e-4,0.0272827,20.0139,0.318184,178.520,1.18025,0.135510
0.0223060,8.53474,2.61136e-3,180.814,25.00,20.5804,1.04473e-4,0.0290949,20.0172,0.282536,180.814,1.26137,0.148504
0.0237431,9.35511,2.52239e-3,183.108,25.00,19.0034,1.00906e-4,0.0268654,20.0256,0.217137,183.108,1.34264,0.162779
0.0249046,10.2524,2.43277e-3,185.401,25.00,19.9711,9.73125e-5,0.0282335,20.0230,0.189999,185.401,1.40832,0.178391
0.0265287,11.2078,2.33431e-3,187.630,24.99,19.6986,9.33680e-5,0.0278482,20.0345,0.156817,187.630,1.50016,0.195015
0.0275042,12.2844,2.22689e-3,189.923,25.00,19.5044,8.90654e-5,0.0275737,20.0358,0.129249,189.923,1.55533,0.213747
0.0284857,13.4632,2.12883e-3,192.217,24.99,18.6441,8.51385e-5,0.0263575,20.0142,0.102859,192.217,1.61083,0.234260
0.0295935,14.7173,2.05063e-3,194.445,25.00,20.6252,8.20065e-5,0.0291582,20.0117,0.0952224,194.445,1.67347,0.256081
0.0313691,16.1309,1.99153e-3,196.739,25.00,19.5841,7.96390e-5,0.0276864,20.0343,0.0752640,196.739,1.77388,0.280677
0.0345345,17.6789,1.95295e-3,199.033,24.99,18.7727,7.80922e-5,0.0265393,20.0308,0.0600640,199.033,1.95288,0.307613
0.0374629,19.3260,1.92677e-3,201.261,24.99,19.9641,7.70427e-5,0.0282236,20.0119,0.0534523,201.261,2.11848,0.336271
0.0406614,21.1818,1.90134e-3,203.555,24.99,19.2933,7.60234e-5,0.0272753,20.0271,0.0430012,203.555,2.29935,0.368563
