Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0282728,1.66476,0.0162913,139.919,24.99,71.3622,6.53602e-4,0.100886,23.0227,25.7493,139.919,1.59879,0.0289668
0.0605056,1.82050,,142.148,25.00,73.7763,,0.104299,23.0211,22.2605,142.148,3.42151,0.0316767
0.0295760,1.99385,0.0150460,144.441,25.00,70.5830,6.03273e-4,0.0997844,23.0191,17.7548,144.441,1.67249,0.0346929
0.0314726,2.18551,0.0145324,146.735,25.00,71.2032,5.82507e-4,0.100661,23.0202,14.9071,146.735,1.77973,0.0380279
0.0332707,2.38975,0.0142021,148.963,24.99,71.2248,5.68971e-4,0.100692,23.0267,12.4717,148.963,1.88141,0.0415815
0.0352340,2.61885,0.0137795,151.257,25.00,70.9707,5.51931e-4,0.100332,23.0154,10.3481,151.257,1.99244,0.0455678
0.0413814,2.86690,0.0133832,153.551,24.99,70.9990,5.35948e-4,0.100373,23.0308,8.63831,153.551,2.34006,0.0498839
0.535235,3.11941,,155.779,24.99,108.576,,0.153496,23.0239,11.1581,155.779,30.2668,0.0542776
0.0749425,3.46132,,158.073,24.99,70.0227,,0.0989922,23.0243,5.84462,158.073,4.23790,0.0602268
0.0456633,3.76799,0.0121678,160.367,24.99,70.4494,4.87049e-4,0.0995955,23.0170,4.96200,160.367,2.58220,0.0655629
0.0472516,4.12012,0.0118791,162.595,24.99,70.7484,4.75425e-4,0.100018,23.0048,4.16770,162.595,2.67202,0.0716899
0.0517123,4.51644,0.0116643,164.889,25.00,71.1196,4.66504e-4,0.100543,23.0165,3.48655,164.889,2.92426,0.0785859
0.0554511,4.94945,0.0112022,167.182,24.99,70.3229,4.48008e-4,0.0994166,23.0352,2.87067,167.182,3.13569,0.0861202
0.0653063,5.39159,0.0108964,169.411,24.99,76.6341,4.35703e-4,0.108339,23.0294,2.63627,169.411,3.69299,0.0938134
0.341011,5.94902,,171.704,25.00,90.2838,,0.127636,23.0373,2.55105,171.704,19.2837,0.103513
0.0625995,6.49886,0.0101325,173.998,24.99,70.1200,4.05133e-4,0.0991298,23.0117,1.66023,173.998,3.53992,0.113080
0.0654988,7.10454,0.0101777,176.226,25.00,70.7418,4.06805e-4,0.100009,23.0214,1.40154,176.226,3.70387,0.123619
0.0759672,7.78712,9.54628e-3,178.520,24.99,69.9875,3.81832e-4,0.0989424,23.0219,1.15416,178.520,4.29584,0.135496
0.265431,8.44513,,180.814,24.98,92.6066,,0.130920,23.0260,1.29846,180.814,15.0098,0.146945
0.884038,9.44205,,183.108,24.99,122.305,,0.172904,23.0269,1.37186,183.108,49.9912,0.164291
0.104685,10.2503,8.90193e-3,185.401,25.00,70.0734,3.55981e-4,0.0990639,23.0278,0.666935,185.401,5.91980,0.178354
0.268748,11.2095,,187.630,25.00,91.2393,,0.128987,23.0338,0.726125,187.630,15.1974,0.195045
0.106320,12.2824,8.71498e-3,189.923,24.99,71.7992,3.48433e-4,0.101504,23.0137,0.475944,189.923,6.01223,0.213713
0.245939,13.4657,,192.217,25.00,81.3432,,0.114996,23.0227,0.448607,192.217,13.9075,0.234302
0.254980,14.7181,,194.445,24.99,81.5862,,0.115340,23.0287,0.376630,194.445,14.4188,0.256094
0.113662,16.1276,8.12758e-3,196.739,24.99,71.1179,3.24896e-4,0.100541,23.0406,0.273427,196.739,6.42745,0.280619
0.997754,17.6051,,199.033,24.99,106.188,,0.150120,23.0267,0.342609,199.033,56.4216,0.306328
1.29925,19.1394,,201.261,24.99,145.840,,0.206176,23.0055,0.398126,201.261,73.4710,0.333024
0.0935932,21.4299,,203.555,24.99,73.5859,,0.104030,23.0430,0.160233,203.555,5.29257,0.372880
0.176198,23.1966,7.08888e-3,205.849,25.00,75.0199,2.83315e-4,0.106057,23.0253,0.139421,205.849,9.96377,0.403620
0.280090,25.3909,,208.077,24.99,80.3971,,0.113659,23.0460,0.124705,208.077,15.8387,0.441800
0.386260,27.8189,,210.371,24.99,79.5664,,0.112484,23.0119,0.102813,210.371,21.8425,0.484048
0.209986,30.4825,6.97235e-3,212.664,24.99,74.5259,2.78684e-4,0.105359,23.0264,0.0802058,212.664,11.8744,0.530395
0.204518,33.3076,6.80701e-3,214.893,24.99,74.5064,2.72087e-4,0.105331,23.0186,0.0671594,214.893,11.5652,0.579551
0.275057,36.5374,6.65453e-3,217.186,25.00,81.6332,2.66014e-4,0.115406,23.0291,0.0611493,217.186,15.5541,0.635749
0.252655,40.0347,6.34405e-3,219.480,24.99,76.9789,2.53597e-4,0.108826,23.0370,0.0480283,219.480,14.2873,0.696603
0.284210,43.7595,6.36889e-3,221.708,25.00,75.5366,2.54621e-4,0.106787,23.0294,0.0394469,221.708,16.0717,0.761413
0.260766,47.9588,5.96482e-3,224.002,24.98,75.5759,2.38445e-4,0.106843,23.0263,0.0328584,224.002,14.7460,0.834481
0.562029,52.3845,,226.296,24.99,87.7217,,0.124014,23.0358,0.0319669,226.296,31.7820,0.911489
1.29254,57.6507,,228.524,25.00,167.426,,0.236693,23.0299,0.0503748,228.524,73.0917,1.00312
0.533064,62.9665,,230.818,24.99,79.1758,,0.111932,23.0219,0.0199698,230.818,30.1440,1.09562
1.16332,69.0286,,233.112,25.00,145.589,,0.205821,23.0290,0.0305541,233.112,65.7840,1.20110
0.549949,75.4750,,235.340,25.00,84.7360,,0.119793,23.0221,0.0148752,235.340,31.0989,1.31326
0.984822,82.6895,,237.634,25.00,122.046,,0.172538,23.0239,0.0178494,237.634,55.6904,1.43879
0.473273,90.6533,5.15309e-3,239.927,25.00,81.9189,2.05978e-4,0.115810,23.0225,9.96821e-3,239.927,26.7629,1.57736
0.948172,99.0976,,242.156,24.99,110.197,,0.155788,23.0230,0.0112213,242.156,53.6179,1.72429
0.717499,108.515,,244.449,25.00,93.5882,,0.132307,23.0130,7.94771e-3,244.449,40.5736,1.88816
0.970044,118.995,,246.743,25.00,118.846,,0.168015,23.0227,8.39326e-3,246.743,54.8547,2.07050
2.14950,130.244,,248.971,24.99,192.688,,0.272406,23.0163,0.0113590,248.971,121.552,2.26624
2.03452,142.623,,251.265,25.00,187.638,,0.265267,23.0276,9.22455e-3,251.265,115.049,2.48163
1.93339,156.300,,253.559,24.99,165.158,,0.233486,23.0191,6.76049e-3,253.559,109.331,2.71962
1.83495,170.839,,255.787,25.00,157.488,,0.222643,23.0216,5.39603e-3,255.787,103.764,2.97259
1.68396,187.237,,258.081,25.00,141.851,,0.200537,23.0289,4.04624e-3,258.081,95.2258,3.25791
2.04032,205.126,,260.375,24.99,159.074,,0.224886,23.0209,3.78056e-3,260.375,115.377,3.56919
1.93076,224.515,,262.603,24.99,146.309,,0.206839,23.0340,2.90255e-3,262.603,109.182,3.90655
3.77527,245.923,,264.897,24.99,174.565,,0.246785,23.0297,2.88640e-3,264.897,213.486,4.27906
1.07270,269.499,3.84734e-3,267.190,25.00,81.9213,1.53773e-4,0.115814,23.0193,1.12793e-3,267.190,60.6596,4.68927
1.19916,294.603,3.75526e-3,269.419,25.00,88.9483,1.50095e-4,0.125748,23.0209,1.02486e-3,269.419,67.8111,5.12609
1.76332,322.945,,271.712,24.99,133.941,,0.189355,23.0343,1.28427e-3,271.712,99.7132,5.61923
1.94928,353.845,,274.006,25.00,143.370,,0.202685,23.0179,1.14507e-3,274.006,110.229,6.15689
3.08434,386.703,,276.234,25.00,240.676,,0.340248,23.0257,1.60945e-3,276.234,174.415,6.72862
2.24892,424.111,,278.528,25.00,158.975,,0.224746,23.0339,8.83834e-4,278.528,127.173,7.37951
2.45354,464.859,,280.822,24.99,154.687,,0.218684,23.0156,7.15831e-4,280.822,138.745,8.08854
2.27193,508.073,,283.050,25.00,134.069,,0.189536,23.0269,5.19370e-4,283.050,128.474,8.84045
1.64213,556.802,3.02703e-3,285.344,24.99,64.5671,1.20985e-4,0.0912796,23.0213,2.08262e-4,285.344,92.8604,9.68833
1.77184,610.260,3.02553e-3,287.638,25.00,59.5917,1.20923e-4,0.0842458,23.0255,1.60013e-4,287.638,100.195,10.6185
1.91439,667.110,2.93319e-3,289.866,24.99,52.3478,1.17233e-4,0.0740049,23.0211,1.17626e-4,289.866,108.256,11.6077
2.27017,731.143,2.94644e-3,292.160,25.00,55.6075,1.17759e-4,0.0786133,23.0267,1.04023e-4,292.160,128.375,12.7219
3.03998,801.452,,294.453,25.00,81.5880,,0.115342,23.0312,1.27020e-4,294.453,171.907,13.9452
2.48535,875.985,2.97459e-3,296.681,25.01,40.6331,1.18874e-4,0.0574437,23.0218,5.29525e-5,296.681,140.543,15.2421
2.91637,954.818,2.95152e-3,298.844,24.99,66.1415,1.17946e-4,0.0935054,23.0220,7.25492e-5,298.844,164.917,16.6138

