Filename,esp_0dot5
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_dot5
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.210827,130.114,1.70482e-3,248.971,25.00,-9.95547,6.48396e-5
0.230681,142.614,1.68632e-3,251.265,24.99,-8.42169,6.48092e-5
0.253509,156.300,1.68632e-3,253.559,25.00,-8.32710,6.47503e-5
0.276928,170.860,1.68632e-3,255.787,24.99,-9.54024,6.47221e-5
0.303246,187.272,1.68632e-3,258.081,25.00,-12.2890,6.47397e-5
0.331841,205.245,1.68632e-3,260.375,24.99,-10.0018,6.47127e-5
0.363418,224.363,1.68632e-3,262.603,24.99,-8.90057,6.47005e-5
0.398038,245.915,1.70482e-3,264.897,25.00,-9.23689,6.47226e-5
0.436421,269.516,1.70482e-3,267.190,25.00,-11.1864,6.47910e-5
0.477893,294.621,1.70482e-3,269.419,25.00,-11.5786,6.48716e-5
0.524849,322.922,1.70482e-3,271.712,25.00,-12.4554,6.49978e-5
0.576931,353.913,1.72354e-3,274.006,24.99,-11.4743,6.51666e-5
0.632254,386.879,1.72354e-3,276.234,25.00,-10.4320,6.53530e-5
0.695503,424.043,1.72354e-3,278.528,25.00,-12.4062,6.55593e-5
0.764946,464.738,1.73297e-3,280.822,24.99,-14.9076,6.57650e-5
0.838663,508.028,1.74245e-3,283.050,24.99,-17.3583,6.59709e-5
0.921889,556.829,1.74245e-3,285.344,24.99,-17.8374,6.61824e-5
1.01341,610.268,1.75199e-3,287.638,24.99,-18.4999,6.64060e-5
1.11164,667.114,1.75199e-3,289.866,24.99,-22.0503,6.66711e-5
1.22377,731.197,1.78091e-3,292.160,24.98,-26.7300,6.69875e-5
1.35014,801.375,1.77121e-3,294.453,25.00,-31.5624,6.73473e-5
1.48471,876.016,1.79065e-3,296.681,24.99,-35.8531,6.77354e-5
1.62797,955.074,,298.844,24.99,-40.7238,6.81289e-5

