Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Binkley, D.M., Lee, B.E.J., Saem, S., Moran-Mirabal, J., Grandfield, K.","57200072269; 57198892681; 56845617900; 8545215600; 36504065000","Fabrication of polycaprolactone electrospun nanofibers doped with silver nanoparticles formed by air plasma treatment",2019,"Nanotechnology",30,"21", 215101,,,,2,10.1088/1361-6528/ab0444,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063254812&partnerID=40&md5=e05c374f78e818c3ece79d1d2a8adbed",Article,Final,,Scopus,2-s2.0-85063254812
"Gao, J., Wang, J., Zhou, L., Cai, X., Zhan, D., Hou, M., Lai, L.","57202960428; 57208348418; 57194650588; 55791888200; 36610963500; 57202957922; 24469987100","Co <inf>2</inf> P@N,P-Codoped Carbon Nanofiber as a Free-Standing Air Electrode for Zn-Air Batteries: Synergy Effects of CoN <inf>x</inf> Satellite Shells",2019,"ACS Applied Materials and Interfaces",11,"10",,10364,10372,,11,10.1021/acsami.8b20003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062829049&partnerID=40&md5=708a0b47496dd3adcbccfcb9402545e8",Article,Final,,Scopus,2-s2.0-85062829049
"Li, M., Zhu, Y., Wang, H., Wang, C., Pinna, N., Lu, X.","55278061300; 57193325677; 15057453100; 8856071100; 6602131976; 8530881600","Ni Strongly Coupled with Mo <inf>2</inf> C Encapsulated in Nitrogen-Doped Carbon Nanofibers as Robust Bifunctional Catalyst for Overall Water Splitting",2019,"Advanced Energy Materials",9,"10", 1803185,,,,54,10.1002/aenm.201803185,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060808539&partnerID=40&md5=027748c5d268042fe963cbb7761b7609",Article,Final,,Scopus,2-s2.0-85060808539
"Motlak, M., Hamza, A., Nawaf, S.","55249706900; 38061199100; 53878130100","Synthesis and application of Co/TiO2 nanoparticles incorporated carbon nanofibers for direct fuel cell",2019,"Journal of Physics: Conference Series",1178,"1", 012006,,,,,10.1088/1742-6596/1178/1/012006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064385940&partnerID=40&md5=0290faddf4e6bcd782f2c1ef58038396",Conference Paper,Final,Open Access,Scopus,2-s2.0-85064385940
"Cheng, Y., Wang, W., Zhang, S.","57195345983; 36457965500; 53165346300","Amplification of spin-transfer torque in magnetic tunnel junctions with an antiferromagnetic barrier",2019,"Physical Review B",99,"10", 104417,,,,,10.1103/PhysRevB.99.104417,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063231746&partnerID=40&md5=741f2f11265ec1b5cc90108595d69e23",Article,Final,Open Access,Scopus,2-s2.0-85063231746
"Ding, D., Appel, M.H., Javadi, A., Zhou, X., Löbl, M.C., Söllner, I., Schott, R., Papon, C., Pregnolato, T., Midolo, L., Wieck, A.D., Ludwig, A., Warburton, R.J., Schröder, T., Lodahl, P.","36022203800; 57201291419; 36996434500; 57202060058; 57199198871; 26530539300; 55800718800; 57201302211; 56737066700; 41262024200; 57203083552; 7202499456; 10839530100; 26221922600; 6701763675","Coherent Optical Control of a Quantum-Dot Spin-Qubit in a Waveguide-Based Spin-Photon Interface",2019,"Physical Review Applied",11,"3", 031002,,,,2,10.1103/PhysRevApplied.11.031002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062948863&partnerID=40&md5=96986232281ec9ab365cf7818bd9f2dc",Article,Final,,Scopus,2-s2.0-85062948863
"Jiang, D.-H., Tsai, P.-C., Kuo, C.-C., Jhuang, F.-C., Guo, H.-C., Chen, S.-P., Liao, Y.-C., Satoh, T., Tung, S.-H.","56508776200; 57198780964; 26659581900; 57205529131; 57207768062; 55249530300; 55213714500; 7403584784; 57200135780","Facile Preparation of Cu/Ag Core/Shell Electrospun Nanofibers as Highly Stable and Flexible Transparent Conductive Electrodes for Optoelectronic Devices",2019,"ACS Applied Materials and Interfaces",11,"10",,10118,10127,,12,10.1021/acsami.8b18366,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062844684&partnerID=40&md5=7b154692f9e698b0f53265f1c52e9e3c",Article,Final,,Scopus,2-s2.0-85062844684
"Mengjiao, Z., Sitong, Y., Qingxiu, J.","57208109446; 57208107251; 57208102124","Degradation Performance of Electrospun Polylactic Acid/Cellulose Nanocrystalline Composite Fiber Membrane",2019,"Journal of Physics: Conference Series",1168,"2", 022072,,,,,10.1088/1742-6596/1168/2/022072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063771676&partnerID=40&md5=62866aa5f92bb426e959470b3e666abb",Conference Paper,Final,Open Access,Scopus,2-s2.0-85063771676
"Patel, S., Konar, M., Sahoo, H., Hota, G.","56902708800; 57200159523; 16200094100; 6507099861","Surface functionalization of electrospun PAN nanofibers with ZnO-Ag heterostructure nanoparticles: Synthesis and antibacterial study",2019,"Nanotechnology",30,"20", 205704,,,,7,10.1088/1361-6528/ab045d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062842274&partnerID=40&md5=5b26e9d284290990bfe89dcd5b98e2b1",Article,Final,,Scopus,2-s2.0-85062842274
"Lee, H.-F., Wang, P.-C., Chen-Yang, Y.W.","57202681234; 57205602158; 6701603966","An electrospun hygroscopic and electron-conductive core-shell silica@carbon nanofiber for microporous layer in proton-exchange membrane fuel cell",2019,"Journal of Solid State Electrochemistry",23,"3",,971,984,,2,10.1007/s10008-019-04198-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060672955&partnerID=40&md5=fc6b557bbc8c9b52d17072b3fcd5ef6b",Article,Final,,Scopus,2-s2.0-85060672955
"Fan, X.X., Xu, Y.J., He, W.M., Huang, X., He, X.L.","57188758872; 57208109770; 57208102901; 56843842600; 56843987000","UV-enhanced NO<inf>2</inf> gas sensor based on electrospinning SnO<inf>2</inf>-ZnO composite nanofibers",2019,"IOP Conference Series: Materials Science and Engineering",479,"1", 012121,,,,2,10.1088/1757-899X/479/1/012121,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063785122&partnerID=40&md5=8207a9d0bbc72c9fa24bcc2d01071d5d",Conference Paper,Final,Open Access,Scopus,2-s2.0-85063785122
"Chen, S., Wang, Y., Zhong, M., Yu, D., Wang, C., Lu, X.","57193322043; 37068196800; 57202397954; 55839379200; 8856071100; 8530881600","Fe(III)-Tannic Acid Complex Derived Fe <inf>3</inf> C Decorated Carbon Nanofibers for Triple-Enzyme Mimetic Activity and Their Biosensing Application",2019,"ACS Biomaterials Science and Engineering",5,"3",,1238,1246,,3,10.1021/acsbiomaterials.8b01552,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061937740&partnerID=40&md5=d8a265fdeea067a35bb4692729dd22fe",Article,Final,,Scopus,2-s2.0-85061937740
"Mantsevich, V.N., Rozhansky, I.V., Maslova, N.S., Arseyev, P.I., Averkiev, N.S., Lähderanta, E.","15926177300; 7801463813; 7005487950; 6602441064; 7006170772; 55409279100","Mechanism of ultrafast spin-polarization switching in nanostructures",2019,"Physical Review B",99,"11", 115307,,,,2,10.1103/PhysRevB.99.115307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063293898&partnerID=40&md5=552e1f71b39846a6748e0630fc4127bc",Article,Final,,Scopus,2-s2.0-85063293898
"Wu, Y., He, J.J., Han, T., Xu, S., Wu, Z., Lin, J., Zhang, T., He, Y., Wang, N.","56585047000; 56033417200; 56452232400; 52365522300; 55566761200; 56584980000; 57201812770; 46061021200; 56321621000","Induced Ising spin-orbit interaction in metallic thin films on monolayer WS e2",2019,"Physical Review B",99,"12", 121406,,,,2,10.1103/PhysRevB.99.121406,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063389475&partnerID=40&md5=6a4441c61db2db21336d306d3658814c",Article,Final,,Scopus,2-s2.0-85063389475
"Tang, W., Li, D.W., Du, X.J., Yu, J., Sun, Q.Q.","57196724714; 57208109890; 57208102664; 57208110123; 57208107286","1D N-type SnO<inf>2</inf> nanofibers coexisted with P-type Co<inf>3</inf>O<inf>4</inf> cubes for highly selective acetone sensor",2019,"IOP Conference Series: Materials Science and Engineering",479,"1", 012116,,,,,10.1088/1757-899X/479/1/012116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063797497&partnerID=40&md5=ce28a259745ce6b7a899a494c0eba3ff",Conference Paper,Final,Open Access,Scopus,2-s2.0-85063797497
"Dinani, H.T., Berry, D.W., Gonzalez, R., Maze, J.R., Bonato, C.","24281273400; 7402256657; 57201392965; 16426150300; 22033702000","Bayesian estimation for quantum sensing in the absence of single-shot detection",2019,"Physical Review B",99,"12", 125413,,,,2,10.1103/PhysRevB.99.125413,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063261708&partnerID=40&md5=3276c6ec777bbbbfe1bb6006ff0355de",Article,Final,Open Access,Scopus,2-s2.0-85063261708
"Wang, C.-H., Hu, L.-M., Wang, Z.-F., Zhang, M.","36451548100; 56647264500; 55814619700; 56438141300","Electrospun and in situ self-polymerization of polyacrylonitrile containing gadolinium nanofibers for thermal neutron protection",2019,"Rare Metals",38,"3",,252,258,,2,10.1007/s12598-018-1042-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046906737&partnerID=40&md5=a458c871a6be6610ca6deb9d57229156",Article,Final,,Scopus,2-s2.0-85046906737
