#WaveA,#IntensityA,#WaveB,#IntensityB,#WaveB00,#IntensityB00,#WaveB01,#IntensityB01,#WaveB02,#IntensityB02,#WaveB03,#IntensityB03,#WaveB04,#IntensityB04,#WaveB05,#IntensityB05,#WaveB06,#IntensityB06,#WaveB07,#IntensityB07,#WaveB08,#IntensityB08,#WaveB09,#IntensityB09,#WaveB10,#IntensityB10,#WaveB11,#IntensityB11,#WaveB12,#IntensityB12,#WaveB13,#IntensityB13,#WaveB14,#IntensityB14,#WaveB15,#IntensityB15,#WaveB16,#IntensityB16,#WaveB17,#IntensityB17,#WaveB18,#IntensityB18,#WaveB19,#IntensityB19,#WaveB20,#IntensityB20,#WaveB21,#IntensityB21,#WaveB22,#IntensityB22,#WaveB23,#IntensityB23,#WaveB24,#IntensityB24,#WaveB25,#IntensityB25,#WaveB26,#IntensityB26,#WaveB27,#IntensityB27,#WaveB28,#IntensityB28,#WaveB29,#IntensityB29,#WaveB30,#IntensityB30,#WaveB31,#IntensityB31,#WaveB32,#IntensityB32,#WaveB33,#IntensityB33,#WaveB34,#IntensityB34
1894.335938,63.833519,1894.335938,35.218494,1894.335938,35.218494,1894.335938,48.425426,1894.335938,66.034676,1894.335938,44.023117,1894.335938,70.436989,1894.335938,39.620804,1894.335938,57.230053,1894.335938,66.034676,1894.335938,41.82196,1894.335938,68.235832,1894.335938,63.833519,1894.335938,52.82774,1894.335938,50.626583,1894.335938,39.620804,1894.335938,48.425426,1894.335938,46.224274,1894.335938,55.028896,1894.335938,41.82196,1894.335938,74.839294,1894.335938,39.620804,1894.335938,57.230053,1894.335938,26.41387,1894.335938,46.224274,1894.335938,77.040451,1894.335938,55.028896,1894.335938,46.224274,1894.335938,57.230053,1894.335938,413.817291,1894.335938,422.621918,1894.335938,70.436989,1894.335938,44.023117,1894.335938,66.034676,1894.335938,48.425426,1894.335938,246.529449,1894.335938,173.891312
1893.199219,46.213253,1893.199219,52.815147,1893.199219,66.018936,1893.199219,55.015778,1893.199219,90.225876,1893.199219,61.617672,1893.199219,48.413887,1893.199219,52.815147,1893.199219,57.216412,1893.199219,59.417042,1893.199219,57.216412,1893.199219,70.420197,1893.199219,57.216412,1893.199219,44.012623,1893.199219,57.216412,1893.199219,66.018936,1893.199219,50.614517,1893.199219,26.407574,1893.199219,52.815147,1893.199219,61.617672,1893.199219,52.815147,1893.199219,41.811993,1893.199219,55.015778,1893.199219,52.815147,1893.199219,61.617672,1893.199219,85.824615,1893.199219,61.617672,1893.199219,37.410728,1893.199219,52.815147,1893.199219,396.113617,1893.199219,422.521179,1893.199219,63.818302,1893.199219,68.219566,1893.199219,55.015778,1893.199219,46.213253,1893.199219,272.878265,1893.199219,198.056808
1892.0625,48.402363,1892.0625,55.002682,1892.0625,63.803112,1892.0625,46.202255,1892.0625,81.403969,1892.0625,61.603004,1892.0625,61.603004,1892.0625,55.002682,1892.0625,66.00322,1892.0625,48.402363,1892.0625,57.202789,1892.0625,55.002682,1892.0625,70.403435,1892.0625,52.802578,1892.0625,57.202789,1892.0625,44.002148,1892.0625,35.201717,1892.0625,44.002148,1892.0625,46.202255,1892.0625,50.60247,1892.0625,48.402363,1892.0625,35.201717,1892.0625,39.601933,1892.0625,39.601933,1892.0625,48.402363,1892.0625,96.804726,1892.0625,63.803112,1892.0625,48.402363,1892.0625,57.202789,1892.0625,374.01825,1892.0625,398.219421,1892.0625,39.601933,1892.0625,59.402897,1892.0625,39.601933,1892.0625,52.802578,1892.0625,242.01181,1892.0625,222.210846
1890.925781,74.785866,1890.925781,72.586281,1890.925781,65.987534,1890.925781,63.787945,1890.925781,92.382545,1890.925781,76.985451,1890.925781,52.790024,1890.925781,50.590439,1890.925781,63.787945,1890.925781,54.989609,1890.925781,63.787945,1890.925781,59.388779,1890.925781,70.386696,1890.925781,72.586281,1890.925781,52.790024,1890.925781,41.792103,1890.925781,57.189194,1890.925781,32.993767,1890.925781,65.987534,1890.925781,43.991688,1890.925781,52.790024,1890.925781,35.193348,1890.925781,30.79418,1890.925781,43.991688,1890.925781,46.191273,1890.925781,65.987534,1890.925781,70.386696,1890.925781,57.189194,1890.925781,50.590439,1890.925781,446.515625,1890.925781,393.725586,1890.925781,57.189194,1890.925781,52.790024,1890.925781,48.390854,1890.925781,61.58836,1890.925781,213.35968,1890.925781,197.962585
1889.789063,41.782181,1889.789063,48.379368,1889.789063,57.175617,1889.789063,65.971863,1889.789063,70.369987,1889.789063,54.976555,1889.789063,57.175617,1889.789063,52.777493,1889.789063,50.57843,1889.789063,52.777493,1889.789063,48.379368,1889.789063,52.777493,1889.789063,59.374676,1889.789063,39.583118,1889.789063,65.971863,1889.789063,61.573738,1889.789063,30.786869,1889.789063,43.981243,1889.789063,57.175617,1889.789063,61.573738,1889.789063,43.981243,1889.789063,52.777493,1889.789063,61.573738,1889.789063,54.976555,1889.789063,35.184994,1889.789063,63.7728,1889.789063,59.374676,1889.789063,43.981243,1889.789063,61.573738,1889.789063,417.821808,1889.789063,409.025543,1889.789063,46.180305,1889.789063,48.379368,1889.789063,46.180305,1889.789063,48.379368,1889.789063,244.095901,1889.789063,182.522156
1888.652344,68.154762,1888.652344,52.764977,1888.652344,65.956223,1888.652344,59.3606,1888.652344,74.750389,1888.652344,59.3606,1888.652344,48.367897,1888.652344,46.169357,1888.652344,41.772274,1888.652344,65.956223,1888.652344,48.367897,1888.652344,50.566437,1888.652344,83.544548,1888.652344,61.559139,1888.652344,50.566437,1888.652344,39.573734,1888.652344,61.559139,1888.652344,57.16206,1888.652344,57.16206,1888.652344,48.367897,1888.652344,74.750389,1888.652344,48.367897,1888.652344,52.764977,1888.652344,43.970814,1888.652344,65.956223,1888.652344,74.750389,1888.652344,57.16206,1888.652344,30.77957,1888.652344,74.750389,1888.652344,384.744629,1888.652344,413.325653,1888.652344,50.566437,1888.652344,65.956223,1888.652344,59.3606,1888.652344,57.16206,1888.652344,237.442398,1888.652344,151.69931
1887.515625,65.940605,1887.515625,63.742584,1887.515625,52.752483,1887.515625,72.534668,1887.515625,74.732689,1887.515625,37.366344,1887.515625,70.336647,1887.515625,46.158424,1887.515625,54.950504,1887.515625,48.356445,1887.515625,68.138626,1887.515625,85.722786,1887.515625,74.732689,1887.515625,46.158424,1887.515625,63.742584,1887.515625,30.772282,1887.515625,35.168324,1887.515625,61.544563,1887.515625,57.148525,1887.515625,52.752483,1887.515625,54.950504,1887.515625,46.158424,1887.515625,48.356445,1887.515625,35.168324,1887.515625,46.158424,1887.515625,72.534668,1887.515625,68.138626,1887.515625,35.168324,1887.515625,61.544563,1887.515625,393.445618,1887.515625,408.831757,1887.515625,61.544563,1887.515625,48.356445,1887.515625,57.148525,1887.515625,54.950504,1887.515625,265.960449,1887.515625,186.831711
1886.376953,57.13501,1886.376953,48.345009,1886.376953,48.345009,1886.376953,83.505013,1886.376953,85.702515,1886.376953,48.345009,1886.376953,50.542511,1886.376953,59.332512,1886.376953,57.13501,1886.376953,43.950008,1886.376953,57.13501,1886.376953,79.110016,1886.376953,74.715012,1886.376953,43.950008,1886.376953,57.13501,1886.376953,41.752506,1886.376953,52.740009,1886.376953,41.752506,1886.376953,52.740009,1886.376953,50.542511,1886.376953,48.345009,1886.376953,43.950008,1886.376953,52.740009,1886.376953,26.370005,1886.376953,52.740009,1886.376953,70.320015,1886.376953,37.357506,1886.376953,26.370005,1886.376953,48.345009,1886.376953,428.512573,1886.376953,397.747559,1886.376953,48.345009,1886.376953,54.937511,1886.376953,35.160007,1886.376953,43.950008,1886.376953,221.94754,1886.376953,188.985031
1885.238281,52.727554,1885.238281,61.51548,1885.238281,39.545666,1885.238281,74.697372,1885.238281,76.894348,1885.238281,52.727554,1885.238281,48.333591,1885.238281,59.318501,1885.238281,41.742649,1885.238281,52.727554,1885.238281,37.348686,1885.238281,61.51548,1885.238281,48.333591,1885.238281,61.51548,1885.238281,41.742649,1885.238281,35.151703,1885.238281,63.712463,1885.238281,48.333591,1885.238281,39.545666,1885.238281,46.136612,1885.238281,43.939629,1885.238281,48.333591,1885.238281,54.924538,1885.238281,48.333591,1885.238281,65.909447,1885.238281,92.273224,1885.238281,52.727554,1885.238281,30.75774,1885.238281,79.091331,1885.238281,397.653625,1885.238281,413.032501,1885.238281,30.75774,1885.238281,48.333591,1885.238281,46.136612,1885.238281,59.318501,1885.238281,239.470978,1885.238281,182.349457
1884.101563,61.500973,1884.101563,68.090363,1884.101563,50.518654,1884.101563,65.893898,1884.101563,87.858528,1884.101563,57.108044,1884.101563,39.536339,1884.101563,50.518654,1884.101563,52.715118,1884.101563,48.322193,1884.101563,50.518654,1884.101563,65.893898,1884.101563,72.483284,1884.101563,65.893898,1884.101563,52.715118,1884.101563,28.554022,1884.101563,54.911583,1884.101563,30.750486,1884.101563,26.357559,1884.101563,39.536339,1884.101563,48.322193,1884.101563,57.108044,1884.101563,54.911583,1884.101563,46.125729,1884.101563,48.322193,1884.101563,65.893898,1884.101563,48.322193,1884.101563,48.322193,1884.101563,54.911583,1884.101563,373.398743,1884.101563,441.489105,1884.101563,43.929264,1884.101563,68.090363,1884.101563,61.500973,1884.101563,65.893898,1884.101563,235.021576,1884.101563,153.752426
