PVKinSU8_01_dia,PVKinSU8_02_dia,PVKinSU8_06_dia,PVKinSU8_05_dia,PVKinSU8_04_dia,PVKinSU8_10_gap,PVKinSU8_10_gap_x2,PVKinCHL_07_dia,PVKinCHL_05_dia,PVKinCHL_02_dia,PVKinCHL_06_dia,PVKinCHL_03_dia,PVKinCHL_08_09_10_gap,PSinTHF_07_dia,PSinTHF_05_dia,PSinTHF_06_dia,PSinTHF_04_dia,PSinTHF_03_dia,PSinTHF_08_09_gap,PSBinTHFDMF_06_dia,PSBinTHFDMF_00_dia,PSBinTHFDMF_02_dia,PSBinTHFDMF_03_dia,PSBinTHFDMF_04_dia,PSBinTHFDMF_08_10_gap,PEOinSU8_00_dia,PEOinSU8_05_dia,PEOinSU8_04_dia,PEOinSU8_02_dia,PEOinSU8_06_dia,PEOinSU8_08_gap,PEOinSU8_08_gap_x5
2020.51,2259.61,2434.2,2310.81,3359.45,23.21,46.42,1124.4,2232.93,2550.38,2722.99,3153.53,33.06,1961.88,2415.12,2741.29,4726.77,5213.12,85.9,1743.12,1947.09,2007.09,1767.43,2039.07,50.73,1997.53,2440.86,3334.56,3051.15,4063.92,5.29,26.45
2118.79,2428.35,2413.96,2067.44,3335.49,24.84,49.68,909.09,1904.67,2475.72,2821.84,2986.97,33.68,1763.28,2414.75,2667.37,4682.94,5391.01,81.48,1644.92,1805.43,1871,1867.27,1963.64,50.8,2092.45,2537.89,3193.98,3189.79,3868.61,13.66,68.3
2019.37,2428.35,2434.2,2141.58,3214.86,21.5,43,909.09,2188.6,2502.94,2773.69,3174.53,54.04,1716.5,2344.63,2698.5,4852.05,5370.13,85.36,1724.53,1851.56,1963.81,2022.94,1866.92,51.58,1772.01,2243.2,3105.44,3091.8,4161.22,13.04,65.2
2020.51,2428.35,2482.97,2284.79,,20.63,41.26,1004.78,2439.59,2403.03,2602.4,3182.17,54.82,1836.38,2540.8,2720.57,5100.83,5412.55,81.25,1537.08,1683.36,1857.92,2022.51,1841.62,54.17,1797.59,2215.31,3046.26,3044.93,3795.7,12.65,63.25
2045.52,2163.59,2361.93,2432.16,,23.42,46.84,957.23,2363.79,2380.61,2843.47,3154.9,53.63,1763.28,2492.1,2847.76,4685.4,5556.38,88.11,1509.63,1923.2,1918.8,2250.14,1925.2,61.78,1699.03,2118.05,3085.46,2829.73,4209.32,14.09,70.45
2163.59,2382.83,2411.56,2596.26,,24.27,48.54,911.92,2439.59,2502.94,2825.85,3018.62,53.62,1836.38,2366.98,2741.29,4605.88,5845.84,90.63,1474.42,1904.49,1830.21,2039.66,1963.64,61.37,2015.15,2246.89,3125.29,2634.55,4257.91,14.24,71.2
2380.29,2187.63,2337.47,2621.95,,26.37,52.74,935.77,2544.01,2549.58,2707.49,3201.54,53.63,1835.9,2562.83,2786.15,4698.58,5678.83,86.53,1608.51,1923.2,1809.79,1980.74,1910.83,61.63,2021.71,2196.39,2954.87,2903.4,4355.5,14.45,72.25
2260.12,2235.7,2361.56,2478.87,,24.91,49.82,910.35,2413.74,2500.11,2791.54,3158.2,35.65,1692.37,2366.98,2639.64,4819.58,5509.14,72.1,1455.79,1947.24,1879.51,1946.44,1770.2,60.96,2015.15,2311.44,3105.34,2803.52,3966.01,15.51,77.55
2188.02,2380.29,2409.75,2139.55,,24.41,48.82,909.09,2432.04,2404.01,2899.68,3274.88,36.07,1667.36,2390.73,2688.06,4926.87,5440.13,78.22,1333.16,1778.83,1783.78,1895.05,2006.61,61.79,2087.94,2189.92,3208.93,3121.85,4161.22,17.26,86.3
2260.12,2212.71,2216.86,2356.25,,23.97,47.94,837.66,2173.62,2451.57,2999.68,3184.08,35.49,1719.22,2512.66,2834.55,4760.36,4763.4,79.41,1315.41,1901.45,1737.61,1963.66,2018.99,63.49,1990.44,2238.44,3051.23,2826.94,4187.46,43.13,43.13
