Filename,peo_su8_00_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 000_PEO_SU8,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
,1.59368,2.14576,,,,,,,,,
,1.64077,2.11518,,,,,,,,,
,1.65363,2.08981,,,,,,,,,
,1.75,2.28308,,,,,,,,,
,1.83748,2.19175,,,,,,,,,
,1.85556,1.9341,,,,,,,,,
,1.88885,1.88939,,,,,,,,,
,1.98,1.81421,,,,,,,,,
,2.05776,1.53243,,,,,,,,,
,2.15752,1.47812,,,,,,,,,
,2.16048,1.7049,,,,,,,,,
,2.24,1.63615,,,,,,,,,
,2.30209,1.42272,,,,,,,,,
,2.46441,1.31542,,,,,,,,,
,2.5155,1.50592,,,,,,,,,
,2.53,1.49648,,,,,,,,,
,2.5753,1.32226,,,,,,,,,
,2.81495,1.19496,,,,,,,,,
,2.85,1.17244,,,,,,,,,
,2.88417,1.35562,,,,,,,,,
,2.92885,1.33561,,,,,,,,,
,3.21536,1.08164,,,,,,,,,
,3.22,1.06841,,,,,,,,,
,3.22986,1.07205,,,,,,,,,
,3.41014,1.0165,,,,,,,,,
,3.59,1.00012,,,,,,,,,
,3.61329,0.979541,,,,,,,,,
,3.67272,0.971449,,,,,,,,,
,3.97051,0.91191,,,,,,,,,
,4.04,0.916281,,,,,,,,,
,4.04219,0.900285,,,,,,,,,
,4.19513,0.856912,,,,,,,,,
,4.52203,0.825345,,,,,,,,,
,4.62296,0.825282,,,,,,,,,
,4.64,0.811873,,,,,,,,,
,4.79185,0.772976,,,,,,,,,
,5.06428,0.665703,,,,,,,,,
,5.29,0.743169,,,,,,,,,
,5.38263,0.723395,,,,,,,,,
,5.47345,0.706107,,,,,,,,,
,5.67134,0.610202,,,,,,,,,
,6.13,0.660254,,,,,,,,,
,6.25201,0.642573,,,,,,,,,
,6.26713,0.636023,,,,,,,,,
,6.34461,0.559721,,,,,,,,,
,7.05,0.57851,,,,,,,,,
,7.09767,0.571225,,,,,,,,,
,7.1413,0.57441,,,,,,,,,
,7.29697,0.638783,,,,,,,,,
,7.94881,0.530452,,,,,,,,,
,8.07,0.516695,,,,,,,,,
,8.15709,0.518006,,,,,,,,,
,8.49605,0.565143,,,,,,,,,
,8.90165,0.48749,,,,,,,,,
,8.95,0.476303,,,,,,,,,
,9.31737,0.519064,,,,,,,,,
,9.89216,0.496907,,,,,,,,,
,9.95882,0.448748,,,,,,,,,
,10.4,0.424061,,,,,,,,,
,10.6427,0.466798,,,,,,,,,
,11.1402,0.452731,,,,,,,,,
,11.5177,0.400417,,,,,,,,,
,11.7,0.390943,,,,,,,,,
,12.0833,0.371794,,,,,,,,,
,12.4762,0.372992,,,,,,,,,
,13.4,0.355133,,,,,,,,,
,13.4103,0.351726,,,,,,,,,
,13.7188,0.387036,,,,,,,,,
,13.9716,0.344022,,,,,,,,,
,15.3,0.31443,,,,,,,,,
,15.614,0.313812,,,,,,,,,
,15.6305,0.349751,,,,,,,,,
,15.6702,0.321762,,,,,,,,,
,17.4,0.285392,,,,,,,,,
,17.4857,0.287796,,,,,,,,,
,17.8992,0.314566,,,,,,,,,
,18.1797,0.306987,,,,,,,,,
,19.5613,0.264704,,,,,,,,,
,19.7,0.257911,,,,,,,,,
,20.4452,0.253076,,,,,,,,,
,21.1671,0.273398,,,,,,,,,
,21.907,0.24425,,,,,,,,,
,22.3,0.235033,,,,,,,,,
,23.3533,0.224718,,,,,,,,,
,24.533,0.244898,,,,,,,,,
,24.6454,0.224184,,,,,,,,,
,25.1,0.214467,,,,,,,,,
,26.6751,0.203845,,,,,,,,,
,27.4447,0.204139,,,,,,,,,
,28.6953,0.199831,,,,,,,,,
,29.4,0.194272,,,,,,,,,
,30.4695,0.184994,,,,,,,,,
,30.7033,0.18861,,,,,,,,,
,33.2,0.179611,,,,,,,,,
,33.4106,0.17692,,,,,,,,,
,34.3833,0.190572,,,,,,,,,
,34.8035,0.171899,,,,,,,,,
,37.6,0.159658,,,,,,,,,
,38.5077,0.15974,,,,,,,,,
,38.9008,0.162353,,,,,,,,,
,39.754,0.15591,,,,,,,,,
,42.6,0.150168,,,,,,,,,
,43.0799,0.137912,,,,,,,,,
,45.2932,0.145092,,,,,,,,,
,45.4087,0.136127,,,,,,,,,
,48.1917,0.131075,,,,,,,,,
,48.2,0.127902,,,,,,,,,
,51.8677,0.112848,,,,,,,,,
,52.736,0.122207,,,,,,,,,
,53.9137,0.12194,,,,,,,,,
,54.4947,0.111255,,,,,,,,,
,59.2454,0.103377,,,,,,,,,
,60.3768,0.113739,,,,,,,,,
,61.4018,0.105516,,,,,,,,,
,61.5478,0.10484,,,,,,,,,
,67.6008,0.0965543,,,,,,,,,
,67.6726,0.100041,,,,,,,,,
,69.6837,0.0968447,,,,,,,,,
,71.4917,0.0957745,,,,,,,,,
,75.6548,0.0846292,,,,,,,,,
,77.2984,0.0910813,,,,,,,,,
,78.8951,0.0849862,,,,,,,,,
,83.2395,0.08192,,,,,,,,,
,84.601,0.0886706,,,,,,,,,
,88.2935,0.0793898,,,,,,,,,
,89.3241,0.0791848,,,,,,,,,
,94.5709,0.0746855,,,,,,,,,
,96.9178,0.0772063,,,,,,,,,
,99.9614,0.0717921,,,,,,,,,
,100.853,0.0698445,,,,,,,,,
,112.844,0.06292,,,,,,,,,
,114.83,0.0675745,,,,,,,,,
,115.198,0.0677584,,,,,,,,,
,130.009,0.0598431,,,,,,,,,
