Filename,psb_thfdmf_00_7,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,11/12/2019,,,,,,,,,,
Sample name,OSKT 7_PSB_THFDMF,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.812501,7.758846864,0.01192744,575.734,20,-53.8767,-0.0761663,20.0234,-0.0117848,575.734,45.9458,1.17649
0.907085,8.45599472,0.011811636,582.681,20,-56.6451,-0.0800801,20.0316,-9.90E-03,582.681,51.2944,1.31615
1.00989,9.218590422,0.011723178,589.627,20,-58.0049,-0.0820025,20.0274,-8.10E-03,589.627,57.108,1.47238
1.1258,9.984777495,0.011661465,596.509,20,-60.1462,-0.0850298,20.0288,-6.73E-03,596.509,63.6624,1.64539
,11.04851918,0.011616787,,,,,,,,,
,12.06287766,0.011642297,,,,,,,,,
,13.08321882,1.16E-02,,,,,,,,,
,14.27307465,0.011552555,,,,,,,,,
,15.59368366,0.01148929,,,,,,,,,
,17.22150208,1.14E-02,,,,,,,,,
,18.89238336,1.14E-02,,,,,,,,,
,20.59965083,0.011352292,,,,,,,,,
,22.09466711,0.011352292,,,,,,,,,
,24.353575,1.13E-02,,,,,,,,,
,27.26463404,1.13E-02,,,,,,,,,
,30.6427011,1.12E-02,,,,,,,,,
,33.38230636,1.12E-02,,,,,,,,,
,36.44852746,1.12E-02,,,,,,,,,
,39.61955787,1.12E-02,,,,,,,,,
,42.99406373,1.12E-02,,,,,,,,,
,47.94629171,1.11E-02,,,,,,,,,
,53.677462,1.11E-02,,,,,,,,,
,58.47648597,1.11E-02,,,,,,,,,
,63.84764976,1.11E-02,,,,,,,,,
,69.40241022,1.11E-02,,,,,,,,,
,75.31360289,1.11E-02,,,,,,,,,
,84.31607353,1.10E-02,,,,,,,,,
,91.85433713,1.10E-02,,,,,,,,,
