Filename,ps_thf_01_4,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,18/12/2019,,,,,,,,,,
Sample name,PS_THF_01_4,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
27.9339,163.8469971,7.131054895,541.196,20,-41.8808,-0.0592076,20.0196,-1.738,541.196,1579.62,0.0854143
30.5824,188.9398079,7.103576349,548.602,20,-48.4067,-0.0684334,20.0131,-1.67194,548.602,1729.4,0.0936249
33.53,218.1921811,7.084036241,556.007,20,-10.9113,-0.0154255,20.0354,-0.313679,556.007,1896.07,0.102623
36.6863,242.8495276,7.082668944,563.347,20,-61.4098,-0.086816,20.0085,-1.47179,563.347,2074.56,0.112394
40.096,277.4617808,7.063322688,570.688,20,-29.0955,-0.0411329,20.0232,-0.581331,570.688,2267.37,0.123098
43.9001,317.0071632,7.044029277,578.028,20,-10.8282,-0.015308,20.0128,-0.180361,578.028,2482.49,0.13482
48.0513,352.8313408,7.042669702,585.368,20,9.34148,0.0132062,20.0292,0.129717,585.368,2717.24,0.147658
52.6309,409.6451084,7.023229347,592.773,20,14.6124,0.0206579,20.0256,0.168882,592.773,2976.21,0.161852
57.5657,460.8458284,7.021738245,600.179,20,-5.47793,-7.74E-03,20.0295,-0.0526944,600.179,3255.26,0.177409
62.8145,512.9248498,7.020382972,607.519,20,-31.3641,-0.0443399,20.0206,-0.251521,607.519,3552.08,0.194302
68.5378,586.0297265,7.00120685,614.859,20,-6.76673,-9.57E-03,20.0146,-0.0452391,614.859,3875.72,0.212805
