Filename,psb_nmp_00_12,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 11_PSB_NMP,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0711093,0.763344225,0.014454959,366.412,20,-24.5218,-0.0346668,20.0282,-4.627,366.412,4.02113,0.0400566
0.0790279,0.834890118,0.013552991,373.359,20,-24.3797,-0.0344659,20.0346,-3.67598,373.359,4.46892,0.04481
0.0877537,0.913691928,0.01261793,380.371,20,-24.6924,-0.034908,20.0241,-2.96796,380.371,4.96235,0.0501881
0.0973426,1.006391757,0.011776556,387.383,20,-24.0497,-0.0339995,20.0284,-2.30539,387.383,5.50459,0.0561994
0.107056,1.095137377,0.011081911,394.33,20,-24.2926,-0.0343429,20.0221,-1.86057,394.33,6.05385,0.0628727
0.120657,1.195737777,0.010447172,401.277,20,-24.4103,-0.0345093,20.0256,-1.49396,401.277,6.82296,0.070334
0.138746,1.301091006,0.009878636,408.224,20,-25.0004,-0.0353435,20.0153,-1.2225,408.224,7.84589,0.0786862
0.152091,1.415757778,0.009397286,415.236,20,-25.0189,-0.0353697,20.014,-0.975499,415.236,8.60053,0.0881189
0.172585,1.540546697,0.008965421,422.248,20,-25.3464,-0.0358326,20.0238,-0.787977,422.248,9.75942,0.0986846
0.194511,1.689005777,0.008561677,429.195,20,-25.0641,-0.0354336,20.0158,-0.622657,429.195,10.9993,0.110395
0.222881,1.836214324,0.008245163,436.142,20,-25.81,-0.0364881,20.0232,-0.512311,436.142,12.6036,0.123503
0.239564,2.00794522,0.007961623,443.154,20,-26.0652,-0.0368488,20.019,-0.412517,443.154,13.547,0.138311
0.269551,2.179716205,0.007759339,450.167,20,-26.4747,-0.0374277,20.025,-0.334111,450.167,15.2427,0.154888
0.301529,2.365521484,0.007559451,457.114,20,-26.5168,-0.0374872,20.0284,-0.267384,457.114,17.051,0.173277
0.337421,2.591546926,0.007391673,464.06,20,-27.5538,-0.0389533,20.0208,-0.222007,464.06,19.0807,0.193845
0.383729,2.849621254,0.007235182,471.073,20,-26.8343,-0.0379361,20.0171,-0.172389,471.073,21.6994,0.21709
0.42297,3.125082066,0.007122435,478.085,20,-27.0869,-0.0382932,20.0223,-0.138752,478.085,23.9184,0.243113
0.472985,3.430460323,0.007029383,485.032,20,-27.3892,-0.0387205,20.0269,-0.112107,485.032,26.7467,0.27197
0.53129,3.756935925,0.006951555,491.979,20,-27.3624,-0.0386827,20.0265,-0.0894905,491.979,30.0437,0.304254
0.594534,4.098571651,0.006897739,498.926,20,-29.1775,-0.0412488,20.0172,-0.0762495,498.926,33.6201,0.340372
0.66292,4.460891795,0.00685816,505.938,20,-28.8302,-0.0407577,20.0258,-0.0600713,505.938,37.4872,0.381187
0.745305,4.855241607,0.006818809,512.95,20,-29.0456,-0.0410623,20.0272,-0.0482581,512.95,42.146,0.426878
0.830467,5.296816962,0.006788907,519.897,20,-28.982,-0.0409723,20.0269,-0.0384753,519.897,46.9618,0.477553
0.931374,5.783032246,0.006754593,526.844,20,-29.4382,-0.0416173,20.0254,-0.0312274,526.844,52.668,0.534239
1.04203,6.284592016,0.00674762,533.856,20,-30.4796,-0.0430895,20.0262,-0.025779,533.856,58.9256,0.598301
1.16462,6.834946091,0.006736124,540.869,20,-29.9959,-0.0424058,20.0296,-0.0202294,540.869,65.8578,0.670021
1.30425,7.456571953,0.006706585,547.815,20,-31.8959,-0.0450917,20.0272,-0.0171881,547.815,73.7536,0.749552
1.45825,8.12223687,0.006708777,554.762,20,-30.4307,-0.0430204,20.0265,-0.013103,554.762,82.4621,0.838531
1.63084,8.847327187,0.006710969,561.709,20,-30.8903,-0.0436701,20.0301,-0.010628,561.709,92.2216,0.938067
1.82582,9.637147945,0.006713163,568.721,20,-31.0339,-0.0438731,20.0283,-8.51E-03,568.721,103.248,1.05056
2.04497,10.57913726,0.006670355,575.734,20,-30.4234,-0.0430101,20.0292,-6.65E-03,575.734,115.641,1.17648
2.28528,11.52356059,0.006672535,582.681,20,-32.7102,-0.046243,20.0269,-5.72E-03,582.681,129.229,1.31614
2.55697,12.55229471,0.006674716,589.627,20.01,-29.9582,-0.0423524,20.0288,-4.18E-03,589.627,144.593,1.47237
2.85619,13.67286623,0.006676897,596.509,20,-33.4991,-0.0473582,20.0294,-3.75E-03,596.509,161.514,1.64537
,14.8934737,0.00667908,,,,,,,,,
,16.22304752,0.006681263,,,,,,,,,
,17.67131539,6.68E-03,,,,,,,,,
,19.24887338,0.006685631,,,,,,,,,
,20.96726352,0.006687816,,,,,,,,,
,22.8390582,6.69E-03,,,,,,,,,
,24.87795219,6.69E-03,,,,,,,,,
,27.09886283,0.006694376,,,,,,,,,
,29.51803914,0.006696564,,,,,,,,,
,32.15318076,6.70E-03,,,,,,,,,
,35.02356738,6.70E-03,,,,,,,,,
,38.15019986,6.70E-03,,,,,,,,,
,41.55595383,6.71E-03,,,,,,,,,
,45.26574711,6.71E-03,,,,,,,,,
,49.30672197,6.71E-03,,,,,,,,,
,53.70844372,6.71E-03,,,,,,,,,
,58.50311705,6.71E-03,,,,,,,,,
,63.72582163,6.72E-03,,,,,,,,,
,69.41476878,6.72E-03,,,,,,,,,
,75.611581,6.72E-03,,,,,,,,,
,82.36159656,6.72E-03,,,,,,,,,
,89.71420117,6.73E-03,,,,,,,,,
,94.36380687,6.73E-03,,,,,,,,,
