Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference,,
PCL,45001,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3200,NA,162540,NA,Parajuli 2017,,
PCL,45004,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3800,NA,162540,NA,Parajuli 2017,,
PCL,45005,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,5,NA,NA,162540,NA,Parajuli 2017,,
PCL,45002,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3500,NA,168140,NA,Parajuli 2017,,
PCL,45010,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,190660,NA,Parajuli 2017,,
PEO,4000000,NA,NA,NA,NA,NA,NA,NFES,2,150,NA,Si,2,1250,NA,NA,20,Xu 2014,,
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.5,2500,20,NA,272000,Wang 2017,,
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4,2500,20,NA,2511.3,Wang 2018,,
PEO,400000,Water,72.8,80.1,99.974,1,2.3393,NFES,10,108,NA,Si,0.5,400,5,NA,50,Shin 2018,,
PEO-TBF,4000000,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,0.75,NA,NA,Brass,NA,980,NA,NA,NA,Cisquella-Serra 2019,,
PVDF,534000,Acetone,22.4998,20.9,56.2645,0.7845,24.227,3D ES,17,100,0.84,paper,0.75,1900,10,NA,NA,Kim 2018,,
PVDF,534000,Dimethylsulfoxide DMSO,42.86,46.7,189,1.101,0.0493,3D ES,17,100,0.84,paper,0.75,1900,10,NA,NA,Kim 2018,,
