Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,SiO2,2,919,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,SiO2,3,1255,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,Si,0.5,789,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,Si,1,994,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,Si,2,1190,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,Si,3,1593,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,SiO2,0.5,814,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,SiO2,1,1008,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,SiO2,2,1211,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,5,NA,NA,SiO2,3,1614,200,NA,25,Sun2006a
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,120,NA,NA,NA,NA,5470,,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,2,NA,NA,NA,4113,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,3,NA,NA,NA,4676,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,4,NA,NA,NA,5368,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,5,NA,NA,NA,5773,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,6,NA,NA,NA,6659,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,2,NA,NA,NA,3546,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,3,NA,NA,NA,4052,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,4,NA,NA,NA,4357,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,5,NA,NA,NA,5113,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,6,NA,NA,NA,5676,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,2,NA,NA,NA,3023,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,3,NA,NA,NA,3335,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,4,NA,NA,NA,3582,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,5,NA,NA,NA,4138,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,6,NA,NA,NA,4421,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1700,NA,NA,4551,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1900,NA,NA,4710,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2100,NA,NA,4654,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2300,NA,NA,4729,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2500,NA,NA,4799,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2700,NA,NA,4915,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1700,NA,NA,3946,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1900,NA,NA,4047,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2100,NA,NA,4070,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2300,NA,NA,4197,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2500,NA,NA,4256,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2700,NA,NA,4315,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1700,NA,NA,3314,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,1900,NA,NA,3457,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2100,NA,NA,3553,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2300,NA,NA,3659,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2500,NA,NA,3869,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,NA,NA,NA,NA,2700,NA,NA,3903,Wang2015
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2300,20,NA,3034,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2400,20,NA,3034,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2500,20,NA,3078,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2600,20,NA,3092,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2700,20,NA,3087,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2800,20,NA,3105,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2300,20,NA,2798,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2400,20,NA,2810,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2500,20,NA,2836,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2600,20,NA,2825,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2700,20,NA,2812,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2800,20,NA,2819,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2300,20,NA,2718,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2400,20,NA,2766,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2500,20,NA,2726,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2600,20,NA,2771,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2700,20,NA,2753,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2800,20,NA,2779,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3,2500,20,NA,2475,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.2,2500,20,NA,2515,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.4,2500,20,NA,2565,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.6,2500,20,NA,2589,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,3.8,2500,20,NA,2648,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4,2500,20,NA,2724,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4.2,2500,20,NA,2765,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4.4,2500,20,NA,2864,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4.6,2500,20,NA,2913,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,4.8,2500,20,NA,2980,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,NA,5,2500,20,NA,3051,Wang2017
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,3,2500,20,NA,2474,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,3.2,2500,20,NA,2514,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,3.4,2500,20,NA,2562,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,3.6,2500,20,NA,2587,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,3.8,2500,20,NA,2644,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4,2500,20,NA,2720,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4.2,2500,20,NA,2759,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4.4,2500,20,NA,2858,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4.6,2500,20,NA,2907,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,4.8,2500,20,NA,2973,Wang2018
PEO,2000000,Water,72.8,80.1,99.974,1,2.3393,MultiNozz,5,180,12,Cr,5,2500,20,NA,3043,Wang2018
