Filename,peo_su8_01_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,28/01/2020,,,,,,,,,,
Sample name,PEO_SU8_01_000,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.298208,21.4584,0.0138971,659.03,20,-74.0871,-0.104738,20.0338,-0.160896,659.03,16.8633,0.373376
0.326436,23.4972,0.0138863,666.37,20,-73.9114,-0.10449,20.0216,-0.133869,666.37,18.4595,0.40885
0.357581,25.7295,0.013877,673.71,20,-73.9675,-0.104569,20.0282,-0.111732,673.71,20.2208,0.447692
0.391211,28.1972,0.0138698,681.116,20,-74.3085,-0.105051,20.0247,-0.0934603,681.116,22.1225,0.49063
0.428666,30.9008,0.0138651,688.521,20,-73.2484,-0.103553,20.0278,-0.0767113,688.521,24.2405,0.537672
0.468816,33.8366,0.0138563,695.861,20,-74.6459,-0.105528,20.028,-0.065198,695.861,26.5109,0.588755
0.513017,37.0513,0.0138482,703.201,20,-74.396,-0.105175,20.0322,-0.054193,703.201,29.0104,0.644691
0.56336,40.5714,0.0138407,710.541,20,-74.3895,-0.105166,20.0271,-0.045193,710.541,31.8573,0.705941
0.615162,44.426,0.0138336,717.881,20,-74.8005,-0.105747,20.0301,-0.0378992,717.881,34.7866,0.773011
0.672216,48.6867,0.0138263,725.287,20,-73.822,-0.104363,20.0225,-0.0311433,725.287,38.0129,0.847147
0.737769,53.3549,0.0138191,732.693,20,-75.1067,-0.10618,20.0174,-0.0263833,732.693,41.7198,0.928374
0.805872,58.4239,0.013812,740.033,20,-74.678,-0.105574,20.0176,-0.0218782,740.033,45.571,1.01657
0.882194,63.9747,0.0138046,747.373,20,-74.2344,-0.104946,20.0111,-0.018138,747.373,49.8869,1.11316
0.965375,70.0529,0.0137986,754.713,20,-75.8771,-0.107269,20.0145,-0.0154618,754.713,54.5906,1.21892
1.05641,76.7081,0.0137926,762.053,20,-74.5958,-0.105457,20.0066,-0.0126774,762.053,59.7387,1.33472
1.15762,84.0652,0.0137876,769.458,20,-75.5813,-0.106851,20.0099,-0.010695,769.458,65.4619,1.46273
1.26832,92.1254,0.0137827,776.864,20,-75.9027,-0.107305,20.0161,-8.94E-03,776.864,71.7219,1.60298
1.38859,100.878,0.0137758,784.204,20,-74.8128,-0.105764,20.0172,-7.35E-03,784.204,78.5227,1.75527
1.52005,110.462,0.013771,791.544,20,-76.089,-0.107568,20.0255,-6.24E-03,791.544,85.9571,1.92204
1.66456,120.957,0.0137684,798.884,20,-74.8888,-0.105872,20.0246,-5.12E-03,798.884,94.1286,2.10464
1.822,132.449,0.0137647,806.224,20,-75.6455,-0.106941,20.0283,-4.31E-03,806.224,103.032,2.3046
1.99673,145.151,0.0137628,813.629,20,-76.2037,-0.10773,20.0281,-3.62E-03,813.629,112.913,2.52563
2.1886,159.069,0.013761,821.035,20,-75.4468,-0.10666,20.0266,-2.98E-03,821.035,123.763,2.76779
2.39637,174.181,0.0137597,828.375,20,-76.8764,-0.108681,20.0274,-2.53E-03,828.375,135.512,3.03075
2.62464,190.73,0.0137587,835.715,20,-76.4361,-0.108059,20.0262,-2.10E-03,835.715,148.42,3.31869
2.87264,208.85,0.0137575,843.055,20,-76.3509,-0.107939,20.0336,-1.75E-03,843.055,162.444,3.63399
3.14542,228.692,0.0137562,850.395,20,-78.2125,-0.11057,20.0299,-1.50E-03,850.395,177.87,3.97924
3.44754,250.626,0.0137547,857.801,20,-77.0285,-0.108896,20.0232,-1.23E-03,857.801,194.954,4.36088
3.77832,274.656,0.0137533,865.206,20,-78.784,-0.111378,20.0287,-1.04E-03,865.206,213.659,4.77901
4.1377,300.751,0.0137516,872.546,20,-79.8883,-0.112939,20.025,-8.83E-04,872.546,233.982,5.23305
4.53021,329.324,0.0137497,879.886,20,-79.4264,-0.112286,20.0281,-7.32E-04,879.886,256.177,5.73022
4.96085,360.612,0.0137478,887.226,20,-83.1891,-0.117606,20.0306,-6.40E-04,887.226,280.529,6.27464
5.43127,394.872,0.0137452,894.566,20,-82.1679,-0.116162,20.0326,-5.27E-04,894.566,307.131,6.87076
5.95141,432.744,0.0137423,901.972,20,-84.2464,-0.119101,20.0218,-4.50E-04,901.972,336.545,7.52973
6.51972,474.236,0.013739,909.378,20,-88.0367,-0.124459,20.0224,-3.91E-04,909.378,368.682,8.25168
7.13636,519.292,0.0137356,916.718,20,-86.9661,-0.122945,20.0264,-3.22E-04,916.718,403.552,9.03567
7.81172,568.628,0.013732,924.058,20,-92.5666,-0.130863,20.0107,-2.86E-04,924.058,441.742,9.8941
8.55126,622.652,0.0137278,931.398,20,-94.2575,-0.133253,20.0181,-2.43E-04,931.398,483.562,10.8341
9.36109,681.808,0.0137232,938.738,20,-96.0491,-0.135786,20.0096,-2.07E-04,938.738,529.357,11.8634
10.2517,747.198,0.013718,946.143,20,-104.174,-0.147273,20.018,-1.87E-04,946.143,579.722,13.0012
11.2344,818.842,0.0137124,953.549,20,-106.427,-0.150458,20.0147,-1.59E-04,953.549,635.29,14.2478
12.2923,896.635,0.0137063,960.889,20,-116.157,-0.164214,20.0209,-1.44E-04,960.889,695.113,15.6014
13.4546,981.823,0.0136999,968.229,20,-124.292,-0.175714,20.0165,-1.29E-04,968.229,760.838,17.0837
14.7262,1075.1,0.0136942,975.569,20,-129.617,-0.183241,20.0152,-1.12E-04,975.569,832.745,18.7067
16.1171,1177.24,0.0136877,982.909,20,-149.106,-0.210794,20.0192,-1.08E-04,982.909,911.403,20.484
17.6554,1290.15,0.0136809,990.315,20,-159.028,-0.22482,20.0171,-9.55E-05,990.315,998.389,22.4486
19.3368,1413.85,0.0136737,997.72,20,-173.601,-0.245422,20.0243,-8.68E-05,997.72,1093.47,24.601
