Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.002,2.8699999999999996e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0005,2.8600000000000004e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.001,2.7399999999999995e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0025,2.65e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0005,2.59e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.001,2.59e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0015,2.5e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0015,2.5e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.001,2.46e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.003,2.45e-05,,straight,single,Brown2011,,,
