Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0001,2.0300000000000002e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0002,2.01e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.003,1.9600000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.004,1.9399999999999997e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0005,1.9399999999999997e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0015,1.83e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0045,1.83e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.001,1.82e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0045,1.82e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0035,1.7800000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.002,1.77e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0025,1.76e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.005,1.7100000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0025,1.7100000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.005,1.6899999999999997e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.003,1.6899999999999997e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.003,1.63e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0035,1.6100000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.004,1.57e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0035,1.53e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.004,1.52e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0001,1.4499999999999998e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.005,1.4499999999999998e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.004,1.4400000000000001e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0002,1.4400000000000001e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0045,1.4000000000000001e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0045,1.4000000000000001e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0005,1.3699999999999998e-05,,0,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0015,1.28e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.001,1.27e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.005,1.21e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.0045,1.18e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.002,1.15e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0025,1.11e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.003,1.0800000000000002e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0035,1.06e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-11,19,0.03,12000.0,0.005,1.06e-05,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.004,9e-06,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.0045,8.99e-06,,4,6,2,,,
3,50000.0,2,0.7474335,,,1142.62,5,,0.0005139999999999999,1.39e-12,19,0.03,12000.0,0.005,8.99e-06,,4,6,2,,,
3,80025.0,2,0.7474335,,,1142.62,5,,0.000743,5.56e-12,0,0.04,6000.0,,3.3e-05,,0,5,3,,,
3,80021.0,2,0.7474335,,,1142.62,5,,0.000739,5.56e-12,0,0.03,6000.0,,2.9100000000000003e-05,,0,5,3,,,
3,80017.0,2,0.7474335,,,1142.62,5,,0.000735,5.56e-12,0,0.02,6000.0,,2.6600000000000003e-05,,0,5,3,,,
3,80026.0,2,0.7474335,,,1142.62,5,,0.0007440000000000001,5.56e-12,0,0.04,8000.0,,2.3100000000000002e-05,,0,5,3,,,
