Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PVK,1100000,Styrene,0.000696,6.31082581,0.003612077,1300,xy stage,3.96,0.0001,8.33E-12,Si/SiO2,0.0025,3500,0.133 - 0.15,0.000000065 - 0.000000707,5.00E-05,straight,aligned,Min2013
PEO,200000,Water/Ethanol,1.048316,0.000523721,11907.5588,894.313,xy stage,14,0.00025,3.00E-12,Si,0.00525,1600,0.15,3.00E-07,0.0003,meander,aligned,Nagle2019
PVDF,534000,CF/DMF,0.7474335,,,1142.62,rotating drum,Oct-18,,,Cu,,2000 - 10000,0.5236 - 2.6181,0.0000353 - 0.0000519,,straight,aligned,Pan2014
PVDF,534000,CF/DMF,0.7474335,,,1142.62,coaxial,15 - 19,0.00063,,Cu,,8000 - 16000,0.5305702 - 2.621381535,0.0000103 - 0.0000459,,straight,aligned,Pan2015
PCL,45028,CF/DMF,0.7474335,,,1142.62,xy stage,25 - 70,0.0003 - 0.0006,0 - 0.00000000121,,0.005 - 0.01,3500 - 3900,0.2,0.0000587 - 0.000190689,,straight,single,Parajuli2016
PEO/NaCl,,CF/DMF,0.7474335,,,1142.62,xy stage,0.1 - 1,,,,,,,0.000000092 - 0.000000239,,straight,aligned,Park2020
PEO,1000000,Water/Ethanol,1.048316,0.000339603,11923.75956,894.313,xy stage,4,0.00016,0.0000000000833 - 0.00000000025,,0.003,1500,,0.00000574 - 0.0000147,,straight,mesh,Ru2014
PEO/TiO2,300000,CF/DMF,0.7474335,0.000618508,363503.0357,1142.62,xy stage,5.44,,5.56E-12,Si3N4,0.0005,1100,,5.00E-07,4.00E-05,straight,aligned,Ruggieri2013
PIB,,,,,,,rotating drum,15,0.00036,2.00E-11,,,12000,,4.20E-07,,straight,cross aligned,Sarkar2007
PS,,,,,,,rotating drum,20,0.00036,1.00E-11,,,11000,,4.10E-07,,straight,cross aligned,Sarkar2007
PEO/FeAl NP,,,,,,,rotating drum,6,0.00036,1.17E-11,,,9500,,4.00E-07,,straight,cross aligned,Sarkar2007
PEO/Au NP,,,,,,,rotating drum,10,0.00036,1.67E-11,,,9300,,3.90E-07,,straight,cross aligned,Sarkar2007
PEO/SWCNT,,,,,,,rotating drum,8,0.00036,1.33E-11,,,9300,,3.80E-07,,straight,cross aligned,Sarkar2007
PEO,,,,,,,rotating drum,8,0.00036,1.33E-11,,,9500,,3.70E-07,,straight,cross aligned,Sarkar2007
PEO/PPy,5000000,DMF/Acetone,0.63343,,,948.8,xy stage,8,2.50E-05,,,,1000,,0.0000004 - 0.0000007,0.000265,straight,aligned,Shen2016
PEO,400000,Water,0.958822,0.000286996 - 0.011477054,2225.741176 - 35611.8588,1000.62,xy stage,10,0.000108,,,0.00075,500 - 700,0.015,0.00000013 - 0.00000022,,"straight, coil and meander",single,Shin2018
PEO,4000000,Water,0.958822,,,1000.62,xy stage,1.5,0.000108,,,,650,0.0002 - 0.0008,0.000000933 - 0.000000094,,"meander, coil and meander",single,Shin2019
PS,,TCB,0.0020566,,,1449.86,xy stage,5,2.00E-06,,Si,0.00002 - 0.00004,400 - 500,0.002,0.0000000573 - 0.000000167,,straight,single,Song2015
PCL,80000,CF/DMF,0.7474335,0.000735875,4729.908189,1142.62,aligned needles,10,0.000337,1.39E-10,Si,0.06,15000,,1.21E-07,,straight,randomly distributed,Sonntag2020
PEU,,CF/DMF,0.7474335,,,1142.62,touch spinning,5,,8.33E-11,,,,,3.28E-07,,straight,cross aligned,Strauss2019
PCL,,CF/DMF,0.7474335,,,1142.62,touch spinning,8,,8.33E-11,,,,,3.26E-07,,straight,cross aligned,Strauss2019
PEO/NT,,CF/DMF,0.7474335,,,1142.62,touch spinning,0.5,,8.33E-11,,,,,3.20E-07,,straight,cross aligned,Strauss2019
PEO,,CF/DMF,0.7474335,,,1142.62,touch spinning,0.5,,8.33E-11,,,,,2.98E-07,,straight,cross aligned,Strauss2019
PEO,300000,CF/DMF,0.7474335,,,1142.62,xy stage,3,,,Si and SiO2,0.0005 - 0.003,598 - 1255,0.2,3.00E-07,2.50E-05,meander,single,Sun2006a
PEO,2000000,CF/DMF,0.7474335,,,1142.62,multinozzle xy stage,5,,3.33E-11,,0.002 - 0.006,1700 - 2700,,,0.00547,straight,aligned,Wang2015
PEO,2000000,Water,0.958822,,,1000.62,multinozzle xy stage,5,0.00018,3.33E-12,,0.003 - 0.005,2300 - 2800,0.02,,0.003034,straight,aligned,Wang2017
PEO,2000000,Water,0.958822,0.000574931,8906.09431,1000.62,multinozzle xy stage,5,0.00018,,SST,0.004,2500,0.02,6.23E-06,0.02520032,straight,aligned,Wang2018a
PEO,4000000,,,,,,xy stage,2,0.00015,,Si,0.002,1250,,,0.000007 - 0.000074,meander,aligned,Xu2014
PEO,2000000,CF/DMF,0.7474335,,,1142.62,xy stage,5,,3.33E-12,,0.0025 - 0.004,1900 - 2700,0.05 - 0.3,0.000000696 - 0.00000508,,meander,aligned,Xu2019
Gelatin,,CF/DMF,0.7474335,,,1142.62,xy stage,11,,,PDMS,0.00125,1000,,9.02E-07,4.00E-05,straight,aligned,Xue2014
PEO,900000,Water,0.958822,0.00057282,8923.275983,1000.62,xy stage,5,0.00011,0.000000000000833 - 0.00000000000278,PS,0.0005 - 0.0015,1000 - 1300,0.008774731 - 0.166854679,0.000000671 - 0.0000199,,straight,aligned,Yang2019
PCL,80000,,,,,,xy stage,,0.00026,0.000000000000833 - 0.00000000000278,PE,0.002,3000,,6.80E-06,,meander,aligned,You2017
PS,240000,CF/DMF,0.7474335,0.003085799,910845.5556,1142.62,xy stage,30,0.000455,0,Au,0.0002,2400,0.015,7.81E-06,,straight,mesh,Yousefi2019
PEO,2000000,CF/DMF,0.7474335,0.000735049,4749.867762,1142.62,multinozzle xy stage,8,,,,0.003,2500,0.08,0.00000289 - 0.00001,0.002061,straight,aligned,Zhang2019
PEO,300000,Water/Ethanol,1.048316,0.010481536,11917.29913,894.313,xy stage,18,4.00E-05,,Si,0.001,1700,0.36,4.89E-07,,coil,single,Zheng2010
PEO,300000,Water/Ethanol,1.048316,0.0005243,11910.45426,894.313,xy stage,14,0.00021,1.39E-11,PET,0.002,500 - 4000,0.02 - 1,0.0000174 - 0.0000658,0.0003,meander,aligned,Zheng2014
PCL,90000,CF/DMF,0.7474335,7.37E-05,4735.564517,1142.62,xy stage,10,0.00041,0.0000000000167 - 0.0000000000833,Si/Al,0.001 - 0.003,800 - 4000,0.03,0.00000799 - 0.0000915,,straight,single,Zhou2010
PEO,2000000,Water,0.958822,0.000572353,8896.483826,1000.62,auxiliary electrodes,4,0.00016,,Si,0.004,0 - 5000,0.005,0.00000706 - 0.0000136,,meander and straight,single,Zhu2016
