Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PEO,900000,Water,0.056,0.014715,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.034117815,2.39024E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.01348875,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.06667,2.78254E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.04905,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.0005,1000,0.06667,3.11427E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.6668E-11,PS,0.001,1000,0.06667,4.36455E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1100,0.06667,6.3388E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1200,0.06667,9.89071E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1300,0.06667,1.99454E-05,NA,straight,aligned,Yang2019
PVDF,534000,Acetone/DMSO,,,,,xy stage,18,0.00015,NA,NA,NA,900,0.06,2.53615E-06,NA,straight,aligned,Liu2013
PVDF,534000,Acetone/DMSO,,,,,xy stage,18,0.00015,NA,NA,NA,900,0.06,4.60877E-06,NA,straight,aligned,Liu2013
PVDF,534000,Acetone/DMSO,,,,,xy stage,18,0.00015,NA,NA,NA,900,0.06,1.05305E-05,NA,straight,aligned,Liu2013
PEO,4000000,NA,0.056,0.00981,25,1215.525,xy stage,2,0.00015,NA,Si,0.002,1250,NA,3.43196E-07,NA,meander,aligned,Xu2014
PEO,4000000,NA,,,,,xy stage,2,0.00015,NA,Si,0.002,1250,NA,NA,0.000074,meander,aligned,Xu2014
PEO,4000000,NA,,,,,xy stage,2,0.00015,NA,Si,0.002,1250,NA,NA,0.00002,meander,aligned,Xu2014
PEO,4000000,NA,,,,,xy stage,2,0.00015,NA,Si,0.002,1250,NA,NA,0.000007,meander,aligned,Xu2014
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,0.01,NA,NA,4.09142E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,400,NA,5.06569E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,0.0045,NA,NA,5.58621E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,0.0025,NA,NA,6.32462E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,0.0007,NA,NA,8.39166E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,700,NA,8.71092E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,500,NA,8.95036E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,600,NA,8.99042E-07,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,800,NA,1.38394E-06,NA,straight,aligned,George2020
PAN,150000,DMF,,,,,rotating drum,11,0.000159,NA,Si,NA,900,NA,2.52959E-06,NA,straight,aligned,George2020
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.05,3.98846E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1800,0.05,0.000005539,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1200,0.05,5.56915E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1400,0.05,5.66831E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1000,0.05,5.76747E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1600,0.05,5.76747E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.03,9.51972E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.05,9.6876E-06,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.07,1.03825E-05,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.03,1.10355E-05,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.09,0.000011338,0.0001,straight,aligned,Luo2016
PVDF/PVA/SWCNT,534000,DMSO/Acetone,0.056,0.00981,25,1215.525,xy stage,21,0.000159,NA,paper,0.001,1500,0.01,1.14828E-05,0.0001,straight,aligned,Luo2016
PEO,300000,Water,0.056,0.00981,15,415.525,xy stage,3,0.00016,8.33E-13,Si,0.005,1000,0.4,2.139E-07,4.91E-05,straight,single,Bu2012
PEO,300000,Water,0.056,0.008829,15,415.525,xy stage,3,0.00016,8.33E-13,Si,0.005,1000,0.2,2.896E-07,4.21E-05,straight,single,Bu2012
PEO,300000,Water,0.056,0.007848,15,415.525,xy stage,3,0.00016,8.33E-13,Si,0.005,1000,0.1,0.000000307,NA,meander,single,Bu2012
PEO,300000,Water,0.056,0.006867,15,415.525,xy stage,3,0.00016,8.33E-13,Si,0.005,1000,0.05,3.439E-07,NA,meander,single,Bu2012
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,5000,0.00333,1.25397E-05,NA,straight,cross aligned,Hochleitner2014
