Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.005,1.44746e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.004,1.4391600000000001e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0002,1.4374500000000001e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0045,1.3984300000000001e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0045,1.3984300000000001e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0005,1.3651199999999999e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0015,1.2835899999999999e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.001,1.27448e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.005,1.2079300000000001e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0045,1.18384e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.002,1.14804e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0025,1.10725e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.003,1.0765e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0035,1.06071e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.005,1.05822e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.004,9.00213e-06,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0045,8.994010000000001e-06,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.005,8.985310000000001e-06,,4,6,2,,,
3,80025.0,2,,,,,4,,0.000743,5.555999999999999e-12,0,0.04,6000.0,,3.30063e-05,,0,5,3,,,
3,80021.0,2,,,,,4,,0.000739,5.555999999999999e-12,0,0.03,6000.0,,2.9129699999999997e-05,,0,5,3,,,
3,80017.0,2,,,,,4,,0.000735,5.555999999999999e-12,0,0.02,6000.0,,2.65823e-05,,0,5,3,,,
3,80026.0,2,,,,,4,,0.0007440000000000001,5.555999999999999e-12,0,0.04,8000.0,,2.3148699999999997e-05,,0,5,3,,,
3,80018.0,2,,,,,4,,0.000736,5.555999999999999e-12,0,0.02,8000.0,,2.23734e-05,,0,5,3,,,
3,80029.0,2,,,,,4,,0.0007469999999999999,5.555999999999999e-12,0,0.06,8000.0,,2.20411e-05,,0,5,3,,,
3,80019.0,2,,,,,4,,0.000737,5.555999999999999e-12,0,0.02,10000.0,,2.1044299999999998e-05,,0,5,3,,,
3,80022.0,2,,,,,4,,0.00074,5.555999999999999e-12,0,0.03,8000.0,,2.03797e-05,,0,5,3,,,
3,80027.0,2,,,,,4,,0.000745,5.555999999999999e-12,0,0.04,10000.0,,1.9936700000000002e-05,,0,5,3,,,
3,80023.0,2,,,,,4,,0.000741,5.555999999999999e-12,0,0.03,10000.0,,1.9161400000000003e-05,,0,5,3,,,
3,80020.0,2,,,,,4,,0.0007379999999999999,5.555999999999999e-12,0,0.02,12000.0,,1.82753e-05,,0,5,3,,,
3,80024.0,2,,,,,4,,0.000742,5.555999999999999e-12,0,0.03,12000.0,,1.81646e-05,,0,5,3,,,
3,80009.0,2,,,,,4,,0.000727,2.7779999999999997e-12,0,0.04,6000.0,,1.57278e-05,,0,5,3,,,
3,80005.0,2,,,,,4,,0.000723,2.7779999999999997e-12,0,0.03,6000.0,,1.5063299999999999e-05,,0,5,3,,,
3,80013.0,2,,,,,4,,0.000731,2.7779999999999997e-12,0,0.06,6000.0,,1.4288e-05,,0,5,3,,,
3,80001.0,2,,,,,4,,0.000719,2.7779999999999997e-12,0,0.02,6000.0,,1.39557e-05,,0,5,3,,,
3,80030.0,2,,,,,4,,0.0007480000000000001,5.555999999999999e-12,0,0.06,10000.0,,1.39557e-05,,0,5,3,,,
3,80010.0,2,,,,,4,,0.000728,2.7779999999999997e-12,0,0.04,8000.0,,1.3623399999999999e-05,,0,5,3,,,
3,80006.0,2,,,,,4,,0.000724,2.7779999999999997e-12,0,0.03,8000.0,,1.3069600000000001e-05,,0,5,3,,,
3,80002.0,2,,,,,4,,0.00072,2.7779999999999997e-12,0,0.02,8000.0,,1.26266e-05,,0,5,3,,,
3,80014.0,2,,,,,4,,0.000732,2.7779999999999997e-12,0,0.06,8000.0,,1.22943e-05,,0,5,3,,,
3,80011.0,2,,,,,4,,0.000729,2.7779999999999997e-12,0,0.04,10000.0,,1.21835e-05,,0,5,3,,,
3,80007.0,2,,,,,4,,0.000725,2.7779999999999997e-12,0,0.03,10000.0,,1.2072799999999999e-05,,0,5,3,,,
3,80012.0,2,,,,,4,,0.00073,2.7779999999999997e-12,0,0.04,12000.0,,1.16297e-05,,0,5,3,,,
3,80015.0,2,,,,,4,,0.000733,2.7779999999999997e-12,0,0.06,10000.0,,1.16297e-05,,0,5,3,,,
3,80031.0,2,,,,,4,,0.000749,5.555999999999999e-12,0,0.06,12000.0,,1.16297e-05,,0,5,3,,,
3,80016.0,2,,,,,4,,0.000734,2.7779999999999997e-12,0,0.06,12000.0,,1.1408199999999999e-05,,0,5,3,,,
3,80028.0,2,,,,,4,,0.000746,5.555999999999999e-12,0,0.04,12000.0,,1.12975e-05,,0,5,3,,,
3,80003.0,2,,,,,4,,0.000721,2.7779999999999997e-12,0,0.02,10000.0,,1.11867e-05,,0,5,3,,,
3,80008.0,2,,,,,4,,0.000726,2.7779999999999997e-12,0,0.03,12000.0,,1.05222e-05,,0,5,3,,,
3,80004.0,2,,,,,4,,0.000722,2.7779999999999997e-12,0,0.02,12000.0,,1.0411400000000002e-05,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.04,4000.0,,9.968350000000001e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.03,4000.0,,8.417719999999999e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.02,4000.0,,7.97468e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.04,6000.0,,7.97468e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.03,6000.0,,7.088610000000001e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.04,8000.0,,6.867089999999999e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.02,6000.0,,6.5348099999999995e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.04,10000.0,,6.202530000000001e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.03,8000.0,,5.870249999999999e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.04,12000.0,,5.870249999999999e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.03,10000.0,,5.64873e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.02,8000.0,,5.53798e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.03,12000.0,,5.53798e-06,,0,5,3,,,
3,80000.0,2,,,,,4,,0.000718,1.3889999999999998e-12,0,0.02,10000.0,,4.76266e-06,,0,5,3,,,
5,300000.0,12,0.055999999999999994,0.006867,15.0,415.525,9,3.0,0.00016,8.329999999999999e-13,12,0.005,1000.0,0.05,3.439e-07,,2,6,4,1.6293765212507022e-08,9.927537878715615e-08,2.2512464552214317
5,300000.0,12,0.055999999999999994,0.007848,15.0,415.525,9,3.0,0.00016,8.329999999999999e-13,12,0.005,1000.0,0.1,3.07e-07,,2,6,4,1.4257044560943644e-08,8.862326632060754e-08,2.38270316754314
5,300000.0,12,0.055999999999999994,0.008829,15.0,415.525,9,3.0,0.00016,8.329999999999999e-13,12,0.005,1000.0,0.2,2.896e-07,4.210000000000001e-05,4,6,4,1.2672928498616574e-08,8.36003189786578e-08,2.453238948828596
5,300000.0,12,0.055999999999999994,0.00981,15.0,415.525,9,3.0,0.00016,8.329999999999999e-13,12,0.005,1000.0,0.4,2.139e-07,4.91e-05,4,6,4,1.1405635648754916e-08,6.174761128983048e-08,2.8545242552952796
1,380000.0,15,0.055999999999999994,0.00981,45.0,3215.525,9,0.08,0.00026000000000000003,1.389e-11,17,0.0005,1300.0,0.5,1.376e-07,8.840000000000001e-05,4,0,5,1.927552424639581e-06,2.432447327281723e-07,0.29849296675158427
12,4000000.0,3,0.055999999999999994,0.00981,25.0,1215.525,9,0.25,0.00010800000000000001,,12,0.0001,200.0,0.06,4.08e-06,,4,6,6,1.1405635648754917e-06,4.08e-06,0.159039863155799
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0005,1200.0,0.12,2.3058e-06,,4,3,7,1.642411533420708e-07,4.3575524093233803e-07,0.4866478010477341
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0005,1000.0,0.12,9.947e-07,,4,3,7,1.1405635648754917e-07,1.8798063065113914e-07,0.7409339993549519
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,9.0,0.0001,2.7999999999999997e-14,19,0.001,500.0,0.12,1.187e-07,,4,3,7,7.128522280471823e-09,1.9783333333333332e-08,2.2839486772658324
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.001,500.0,0.12,7.45e-08,,4,3,7,7.128522280471823e-09,1.4079176619593713e-08,2.7073689659758053
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0005,800.0,0.12,7.34e-08,,4,3,7,7.299606815203146e-08,1.3871296159438637e-08,2.727580348408811
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0005,800.0,0.12,5.97e-08,,4,3,7,7.299606815203146e-08,1.1282239519325432e-08,3.0243943438586522
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,5.0,0.0001,2.7999999999999997e-14,19,0.001,500.0,0.12,5.76e-08,,4,3,7,7.128522280471823e-09,1.2879751550398788e-08,2.830624961489926
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.001,800.0,0.12,5.5800000000000003e-08,,4,3,7,1.8249017038007866e-08,1.054520879695744e-08,3.1283006382469587
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0015,800.0,0.12,4.87e-08,,4,3,7,8.110674239114608e-09,9.203434917774681e-09,3.3485832625509264
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,3.0,0.0001,2.7999999999999997e-14,19,0.001,500.0,0.12,3.75e-08,,4,3,7,7.128522280471823e-09,1.0825317547305483e-08,3.0875624644331263
5,300000.0,12,0.055999999999999994,0.0981,25.0,1215.525,9,7.0,0.0001,2.7999999999999997e-14,19,0.0005,600.0,0.12,2.88e-08,,4,3,7,4.10602883355177e-08,5.442688411332872e-09,4.354410202462457
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,2.16e-06,,4,6,8,,2.545584412271571e-07,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,1.81e-06,,4,6,8,,2.1331054565794183e-07,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,1.46e-06,,4,6,8,,1.7206265008872657e-07,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,1.07e-06,,4,6,8,,1.2610070931160098e-07,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,9.19e-06,,4,0,9,,1.0830518865173953e-06,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,7.66e-06,,4,0,9,,9.027396573148257e-07,
25,534000.0,2,,,,,9,18.0,,,19,0.00035,,,6.13e-06,,4,0,9,,7.22427428112256e-07,
24,,2,,,,,9,10.0,,,18,,2000.0,0.1,9.3207e-06,5.22e-05,4,0,10,,1.4737320693565707e-06,
19,,2,,,,,0,,,,9,,,,3.0469999999999997e-07,,4,0,11,,,
19,54000.0,2,,,,,0,25.0,,,12,0.001,,,2.9999999999999997e-05,,4,0,12,,3e-06,
19,54000.0,2,,,,,0,25.0,,,12,0.001,,,1e-05,,4,0,12,,1.0000000000000002e-06,
3,83000.0,14,,,,,4,,0.00018,,0,0.0015,2900.0,0.09167,8.170000000000001e-07,0.0001006,4,3,13,,,
