Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PEO,400000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,10.0,0.00010800000000000001,,,0.00075,500.0,0.015,2.2e-07,,straight,single,Shin2018,1.2672928498616573e-07,3.4785054261852176e-14,1722.422667743131
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0002,4.3588799999999997e-07,,coil,single,Shin2019,,1.779505308337123e-13,
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0002,4.99958e-07,,coil,single,Shin2019,,2.0410699880373203e-13,
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0005,5.83928e-07,,coil,single,Shin2019,,2.383876077539826e-13,
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0005,6.72826e-07,,coil,single,Shin2019,,2.7468006427963914e-13,
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0008,8.14768e-07,,meander,single,Shin2019,,3.3262764312466077e-13,
PEO,4000000.0,Water,,,,,xy stage,1.5,0.00010800000000000001,,,,650.0,0.0008,9.332330000000001e-07,,meander,single,Shin2019,,3.809907768544623e-13,
PEO,40000000.0,Water,,,,,xy stage,1.5,0.00011,,,0.0012,,,9.397399999999999e-08,,meander,single,Shin2019,,3.8364724848051065e-14,
PEO,40000000.0,Water,,,,,xy stage,1.5,0.00011,,,0.0011,,,9.5e-08,,meander,single,Shin2019,,3.8783587594066994e-14,
PEO,40000000.0,Water,,,,,xy stage,1.5,0.00011,,,0.001,,,9.634600000000001e-08,,meander,single,Shin2019,,3.9333089793031355e-14,
PEO,40000000.0,Water,,,,,xy stage,1.5,0.00011,,,0.00085,,,9.698700000000001e-08,,meander,single,Shin2019,,3.959477694721869e-14,
PEO,40000000.0,Water,,,,,xy stage,1.5,0.00011,,,0.0008,,,9.743600000000001e-08,,meander,single,Shin2019,,3.977808042963696e-14,
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.166854679,6.70732e-07,,straight,aligned,Yang2019,2.851408912188729e-07,1.499802346684389e-13,829.5051000049448
