Filename,psb_thfdmf_01_6,,,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,,,
Sample name,PSB_THFDMF_01_6,,,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,,,
Procedure name,Sample,,,,,,,,,,,,
,Flow ramp,,,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,,,
[step],,,,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity,,
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s,,
36.6082,676.959,0.0540774,938.738,20,34.2205,0.0483781,20.0289,7.47E-05,938.738,2070.14,11.7791,,
40.1421,742.036,0.0540973,946.143,20,32.8609,0.0464561,20.0207,5.97E-05,946.143,2269.98,12.9114,,
44.0534,813.347,0.0541631,953.549,20,22.03,0.0311442,20.0278,3.33E-05,953.549,2491.16,14.1522,,
48.3741,890.798,0.0543043,960.889,20,24.5385,0.0346905,20.022,3.09E-05,960.889,2735.49,15.4999,,
53.0874,975.627,0.0544136,968.229,20,14.8434,0.0209844,20.0206,1.56E-05,968.229,3002.02,16.9759,,
58.2554,1068.53,0.0545191,975.569,20,2.03788,2.88E-03,20.0245,1.78E-06,975.569,3294.27,18.5924,,
63.9101,1170.29,0.0546107,982.909,20,-0.550896,-7.79E-04,20.0229,-4.02E-07,982.909,3614.03,20.3629,,
70.1147,1282.78,0.0546583,990.315,20,-17.2933,-0.0244478,20.0204,-1.05E-05,990.315,3964.89,22.3204,,
76.8436,1406.06,0.0546515,997.72,20,-33.7843,-0.0477614,20.0224,-1.71E-05,997.72,4345.4,24.4655,,
84.1028,1539.96,0.0546136,1005.06,20,-39.8835,-0.0563839,20.0197,-1.68E-05,1005.06,4755.9,26.7952,,
92.0108,1686.6,0.0545539,1012.4,20,-66.4408,-0.0939284,20.0183,-2.34E-05,1012.4,5203.09,29.3468,,
100.63,1847.22,0.0544767,1019.74,20,-83.9418,-0.11867,20.0224,-2.46E-05,1019.74,5690.51,32.1415,,
110.011,2023.12,0.0543769,1027.08,20,-125.373,-0.177242,20.0087,-3.06E-05,1027.08,6220.97,35.2022,,
120.367,2217.6,0.0542782,1034.49,20,-158.541,-0.224131,20.0151,-3.22E-05,1034.49,6806.62,38.5862,,
131.635,2430.71,0.054155,1041.89,20,-190.617,-0.269478,20.0197,-3.23E-05,1041.89,7443.8,42.2943,,
143.798,2662.19,0.0540149,1049.23,20,-244.102,-0.34509,20.0195,-3.44E-05,1049.23,8131.58,46.322,,
157.079,2915.7,0.0538735,1056.57,20,-304.596,-0.430613,20.019,-3.58E-05,1056.57,8882.61,50.7331,,
171.503,3193.35,0.0537063,1063.91,20,-394.158,-0.557227,20.0179,-3.87E-05,1063.91,9698.26,55.5641,,
